,Id,Landuse_AN,PP
0,0,C,0.01168169391541713
1,0,O,15.995615759790233
2,0,R,22.28819062366328
3,0,S,0.2117345090549532
4,0,T,36.0556312970433
5,1,C,0.0774440326392983
6,1,O,5.70996106516451
7,1,R,56.92422377910531
8,1,S,35.91816849413744
9,1,T,1.370202628953441
10,2,O,1.6201963418896852
11,2,R,98.13681625646069
12,2,T,0.24298740164963809
13,3,C,2.172666467708564
14,3,O,29.85873846167934
15,3,R,43.93912183417836
16,3,S,12.638376734227782
17,3,T,11.391096502205944
18,4,C,2.7855447230488988
19,4,O,33.46170897448788
20,4,R,57.5075885295675
21,4,S,2.303573190376383
22,4,T,3.941584582519353
23,5,C,0.03146836422287146
24,5,O,33.2987668305284
25,5,R,66.66976480524873
26,6,C,6.954186116803267
27,6,O,20.05774466094427
28,6,R,65.98242988060613
29,6,S,7.0056393416463205
30,7,C,3.7174053507230056
31,7,O,22.641384438858793
32,7,R,69.59917548939333
33,7,S,1.9050233440194808
34,7,T,2.1370113770053836
35,8,O,3.080533031973335
36,8,R,96.91946696802665
37,9,C,0.3338841250851969
38,9,O,15.539124056618384
39,9,R,82.31521484375476
40,9,T,1.8117769745416674
41,10,C,4.355007337208349
42,10,O,17.760401839549374
43,10,R,69.901669265383
44,10,T,7.982921557859274
45,11,C,2.901264498178555
46,11,O,11.561221037945131
47,11,R,85.5375144638763
48,12,C,3.1082729436037253
49,12,O,56.100791786792826
50,12,R,38.85363316565773
51,12,S,0.132176245178597
52,12,T,1.8051258587671082
53,13,O,38.97418854292509
54,13,R,61.01549063178117
55,13,T,0.01032082529374043
56,14,C,1.6688154684063545
57,14,O,24.9694286140001
58,14,R,72.41187273537398
59,14,T,0.9498831822195716
60,15,O,21.45245574908203
61,15,R,78.54754425091798
62,16,C,0.4377833217160957
63,16,O,8.956329538981542
64,16,R,88.56300895062985
65,16,T,2.042878188672509
66,17,C,1.3006010175940261
67,17,O,39.43506353594054
68,17,R,59.20911401438859
69,17,S,0.055221432076829
70,18,C,9.602723392689798
71,18,O,20.520827024070087
72,18,R,67.40533251217681
73,18,T,2.4711170710633104
74,19,C,3.3916670005187535
75,19,O,15.045922772070359
76,19,R,81.56241022741088
77,20,C,2.640130149592804
78,20,O,11.466585204859456
79,20,R,85.89328464554774
80,21,C,2.5017148783232317
81,21,O,27.92980903642206
82,21,R,69.56847608525472
83,22,C,1.7239719381003062
84,22,O,35.19608578189957
85,22,R,63.079942280000125
86,23,O,9.87717997703034
87,23,R,90.12282002296966
88,24,C,0.15202157061730434
89,24,O,71.3520461176531
90,24,R,28.495932311729582
91,25,C,0.5312478887489249
92,25,O,30.088345148129836
93,25,R,69.38040696312125
94,26,O,90.77887796281874
95,26,R,9.221122037181265
96,27,C,0.9130082894332783
97,27,O,30.249986062628885
98,27,R,66.6424150768406
99,27,T,2.194590571097232
100,28,C,2.8649280754516773
101,28,O,22.204498046801856
102,28,R,63.1223905586945
103,28,S,0.43807733569544677
104,28,T,11.370105983356517
105,29,C,0.6038351055193092
106,29,O,15.720507554651181
107,29,R,65.65751448896
108,29,T,18.018142850869516
109,30,C,1.5855465267839608
110,30,O,23.183886179079987
111,30,R,56.14474992635756
112,30,T,19.08581736777849
113,31,C,0.23190030463598843
114,31,O,58.932838138960754
115,31,R,32.81929342954519
116,31,T,8.015968126858072
117,33,C,0.9732362452152218
118,33,O,14.972184671462522
119,33,R,72.53154195990632
120,33,T,11.523037123415937
121,34,C,1.83805334065167
122,34,O,49.31234165729927
123,34,R,47.947003659750855
124,34,T,0.9026013422982057
125,35,O,35.14497012102885
126,35,R,49.174844321321594
127,35,S,15.68018555764957
128,36,O,99.70014619799213
129,36,R,0.2998538020078739
130,37,C,2.561185220870288
131,37,O,71.57069094194345
132,37,R,25.868123837186257
133,38,O,9.459674135304692
134,38,R,90.5403258646953
135,39,C,0.5506699558353751
136,39,O,36.632763982613916
137,39,R,44.68760501447353
138,39,T,18.128961047077166
139,40,C,8.758796550458419
140,40,O,18.910989925278585
141,40,R,52.26279371182911
142,40,T,20.06741981243389
143,41,O,15.803405030013604
144,41,R,67.92849973062982
145,41,T,16.268095239356583
146,45,O,100.0
